language,metric,mean,se,ci95_low,ci95_high,n
da,response_avg_logp,-0.09510067882703903,0.02676587966587786,-0.14756180297215962,-0.04263955468191843,80
da,response_avg_logp_per_char,-0.027626439006666052,0.008415136523324136,-0.04412010659238136,-0.011132771420950746,80
da,response_perplexity,1.8041524120739527,0.17932485404457355,1.4526756981465887,2.1556291260013167,14
da,response_avg_logit_gap,0.9358836345879968,0.2358730647881151,0.47357242760329127,1.3981948415727024,80
de,response_avg_logp,-0.027643493534488067,0.012876229121325463,-0.05288090261228597,-0.0024060844566901607,80
de,response_avg_logp_per_char,-0.00730091004637108,0.003417207469836235,-0.013998636687250099,-0.0006031834054920594,80
de,response_perplexity,1.5777899265289306,0.13718045750391702,1.308916229821253,1.846663623236608,5
de,response_avg_logit_gap,0.38207359524552603,0.16867745916310184,0.05146577528584645,0.7126814152052057,80
en,response_avg_logp,-0.05057935081562716,0.014504519015576832,-0.07900820808615774,-0.02215049354509657,80
en,response_avg_logp_per_char,-0.01187929418335274,0.003285283238809122,-0.01831844933141862,-0.00544013903528686,80
en,response_perplexity,1.4112419883410137,0.05283467821693658,1.307686019035818,1.5147979576462094,12
en,response_avg_logit_gap,0.9705693091137249,0.2638955982909891,0.45333393646338627,1.4878046817640636,80
es,response_avg_logp,-0.12872744996264063,0.025092275056828373,-0.17790830907402425,-0.07954659085125701,80
es,response_avg_logp_per_char,-0.02931250880437796,0.0055929261925652075,-0.04027464414180577,-0.018350373466950155,80
es,response_perplexity,1.5890178421269292,0.06082128073418362,1.4698081318879292,1.7082275523659292,23
es,response_avg_logit_gap,1.7060746865320244,0.31014187928169307,1.0981966031399062,2.3139527699241427,80
fr,response_avg_logp,-0.020098767967405902,0.009005455806164915,-0.03774946134748913,-0.0024480745873226677,80
fr,response_avg_logp_per_char,-0.004710503894858673,0.0020852124669996624,-0.008797520330178011,-0.0006234874595393344,80
fr,response_perplexity,1.3832355737686157,0.053417624818904226,1.2785370291235634,1.487934118413668,5
fr,response_avg_logit_gap,0.41987893733142495,0.18324861122512323,0.06071165933018341,0.7790462153326665,80
pl,response_avg_logp,-0.02561538146559165,0.013156093734995688,-0.0514013251861832,0.0001705622549998953,80
pl,response_avg_logp_per_char,-0.008940224183488006,0.004455926880449875,-0.01767384086916976,-0.00020660749780625036,80
pl,response_perplexity,1.689433366060257,0.15166281255353475,1.392174253455329,1.986692478665185,4
pl,response_avg_logit_gap,0.26870711071004044,0.13279067326963856,0.008437391101548897,0.528976830318532,80
tr,response_avg_logp,-0.15003653149263804,0.03636784174477802,-0.22131750131240296,-0.07875556167287312,80
tr,response_avg_logp_per_char,-0.041204085430213935,0.010395445886755533,-0.06157915936825478,-0.020829011492173092,80
tr,response_perplexity,2.1927194371819496,0.14598601551031454,1.906586846781733,2.478852027582166,16
tr,response_avg_logit_gap,0.861448704796065,0.20255418868584782,0.46444249497180323,1.2584549146203265,80
