,en,de,fr,es,pl,da,tr,bg,bs,sq,mt,zh,mixed,unknown
english,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
german,75.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
french,39.5,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
spanish,56.49999999999999,0.0,0.0,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
polish,45.5,0.0,0.0,0.5,43.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,2.5,0.5
danish,96.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
turkish,12.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,13.5,6.0,3.5000000000000004
bulgarian,5.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5,0.0,0.0,0.0,4.5,3.5000000000000004,3.5000000000000004
bosnian,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,2.5,2.0,1.0
albanian,27.500000000000004,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,66.5,0.0,3.0,2.0,0.5
maltese,73.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.5,5.0
