language,metric,mean,se,ci95_low,ci95_high,n
da,response_avg_logp,-0.6756049830547397,0.015652809970118038,-0.706284490596171,-0.6449254755133084,80
da,response_avg_logp_per_char,-0.1404043871840061,0.005486076132961549,-0.15115709640461075,-0.12965167796340146,80
da,response_perplexity,1.9845500737428665,0.031715835691924,1.9223870357866955,2.0467131116990376,80
da,response_avg_logit_gap,4.461842172260967,0.0795477069090758,4.305928666719178,4.617755677802756,80
de,response_avg_logp,-0.7541296055122805,0.020854072158849168,-0.7950035869436248,-0.7132556240809361,80
de,response_avg_logp_per_char,-0.19275712298198644,0.011045219821393025,-0.21440575383191676,-0.17110849213205612,80
de,response_perplexity,2.164357003569603,0.04868908545938948,2.0689263960692,2.2597876110700064,80
de,response_avg_logit_gap,4.45834532145152,0.0773730854176312,4.306694074032963,4.609996568870077,80
en,response_avg_logp,-0.643129585711187,0.019330083793581514,-0.6810165499466068,-0.6052426214757671,80
en,response_avg_logp_per_char,-0.12178150070395226,0.0041494580461409695,-0.12991443847438855,-0.11364856293351595,80
en,response_perplexity,1.941952092738091,0.03511976100945144,1.8731173611595664,2.010786824316616,79
en,response_avg_logit_gap,4.5564519660849125,0.1122879358397575,4.336367611838988,4.7765363203308375,80
es,response_avg_logp,-0.6617676936953026,0.018320427414948236,-0.6976757314286012,-0.6258596559620041,80
es,response_avg_logp_per_char,-0.14521948603430396,0.006269687740441108,-0.15750807400556854,-0.13293089806303937,80
es,response_perplexity,1.9646561458706855,0.037466585716083356,1.891221637867162,2.038090653874209,80
es,response_avg_logit_gap,4.882171678869743,0.08664673517350238,4.712344077929679,5.051999279809808,80
fr,response_avg_logp,-0.701703212298408,0.021816478957555688,-0.7444635110552171,-0.658942913541599,80
fr,response_avg_logp_per_char,-0.16404892080041092,0.008855604109626016,-0.1814059048552779,-0.14669193674554393,80
fr,response_perplexity,2.057015147805214,0.048276158621949665,1.9623938769061928,2.1516364187042356,80
fr,response_avg_logit_gap,4.4698260284687885,0.09930368259278033,4.275190810586939,4.664461246350638,80
pl,response_avg_logp,-0.784640267572184,0.025883634398137415,-0.8353721909925333,-0.7339083441518346,80
pl,response_avg_logp_per_char,-0.21242782876102068,0.01250315422687418,-0.23693401104569406,-0.1879216464763473,80
pl,response_perplexity,2.2519720152020453,0.06115643788709903,2.1321053969433312,2.3718386334607593,80
pl,response_avg_logit_gap,4.380713685705277,0.09411713019509141,4.196244110522898,4.565183260887656,80
tr,response_avg_logp,-0.8266233125382761,0.02309008608925693,-0.8718798812732197,-0.7813667438033326,80
tr,response_avg_logp_per_char,-0.2528026926727259,0.011125389069807272,-0.2746084552495482,-0.23099693009590366,80
tr,response_perplexity,2.350016974195649,0.05111408793154572,2.2498333618498196,2.4502005865414787,79
tr,response_avg_logit_gap,3.9213450891486987,0.0957476238294075,3.73367974644306,4.109010431854338,80
